x,T,U_0,rho,p,rho,U_0,U_1,U_2
0.000625,293,-6.09E-12,1002.15,1.00E+07,1002.15,-6.09E-12,0,0
0.001875,293,-7.13E-12,1002.15,1.00E+07,1002.15,-7.13E-12,0,0
0.003125,293,-8.74E-12,1002.15,1.00E+07,1002.15,-8.74E-12,0,0
0.004375,293,-5.05E-12,1002.15,1.00E+07,1002.15,-5.05E-12,0,0
0.005625,293,-6.96E-13,1002.15,1.00E+07,1002.15,-6.96E-13,0,0
0.006875,293,4.29E-12,1002.15,1.00E+07,1002.15,4.29E-12,0,0
0.008125,293,8.00E-12,1002.15,1.00E+07,1002.15,8.00E-12,0,0
0.009375,293,1.20E-11,1002.15,1.00E+07,1002.15,1.20E-11,0,0
0.010625,293,9.69E-12,1002.15,1.00E+07,1002.15,9.69E-12,0,0
0.011875,293,1.10E-11,1002.15,1.00E+07,1002.15,1.10E-11,0,0
0.013125,293,9.11E-12,1002.15,1.00E+07,1002.15,9.11E-12,0,0
0.014375,293,7.06E-12,1002.15,1.00E+07,1002.15,7.06E-12,0,0
0.015625,293,2.56E-12,1002.15,1.00E+07,1002.15,2.56E-12,0,0
0.016875,293,2.77E-12,1002.15,1.00E+07,1002.15,2.77E-12,0,0
0.018125,293,3.59E-12,1002.15,1.00E+07,1002.15,3.59E-12,0,0
0.019375,293,2.83E-13,1002.15,1.00E+07,1002.15,2.83E-13,0,0
0.020625,293,-7.87E-12,1002.15,1.00E+07,1002.15,-7.87E-12,0,0
0.021875,293,-4.79E-12,1002.15,1.00E+07,1002.15,-4.79E-12,0,0
0.023125,293,-7.66E-12,1002.15,1.00E+07,1002.15,-7.66E-12,0,0
0.024375,293,-1.66E-12,1002.15,1.00E+07,1002.15,-1.66E-12,0,0
0.025625,293,-1.06E-12,1002.15,1.00E+07,1002.15,-1.06E-12,0,0
0.026875,293,1.32E-12,1002.15,1.00E+07,1002.15,1.32E-12,0,0
0.028125,293,1.95E-12,1002.15,1.00E+07,1002.15,1.95E-12,0,0
0.029375,293,2.45E-12,1002.15,1.00E+07,1002.15,2.45E-12,0,0
0.030625,293,-2.41E-12,1002.15,1.00E+07,1002.15,-2.41E-12,0,0
0.031875,293,-1.68E-13,1002.15,1.00E+07,1002.15,-1.68E-13,0,0
0.033125,293,-5.32E-12,1002.15,1.00E+07,1002.15,-5.32E-12,0,0
0.034375,293,-1.68E-12,1002.15,1.00E+07,1002.15,-1.68E-12,0,0
0.035625,293,1.52E-12,1002.15,1.00E+07,1002.15,1.52E-12,0,0
0.036875,293,2.57E-13,1002.15,1.00E+07,1002.15,2.57E-13,0,0
0.038125,293,5.64E-12,1002.15,1.00E+07,1002.15,5.64E-12,0,0
0.039375,293,6.37E-12,1002.15,1.00E+07,1002.15,6.37E-12,0,0
0.040625,293,6.39E-12,1002.15,1.00E+07,1002.15,6.39E-12,0,0
0.041875,293,1.46E-12,1002.15,1.00E+07,1002.15,1.46E-12,0,0
0.043125,293,-8.29E-13,1002.15,1.00E+07,1002.15,-8.29E-13,0,0
0.044375,293,-7.25E-13,1002.15,1.00E+07,1002.15,-7.25E-13,0,0
0.045625,293,-5.97E-13,1002.15,1.00E+07,1002.15,-5.97E-13,0,0
0.046875,293,-9.32E-13,1002.15,1.00E+07,1002.15,-9.32E-13,0,0
0.048125,293,-3.10E-12,1002.15,1.00E+07,1002.15,-3.10E-12,0,0
0.049375,293,-2.47E-12,1002.15,1.00E+07,1002.15,-2.47E-12,0,0
0.050625,293,-3.28E-12,1002.15,1.00E+07,1002.15,-3.28E-12,0,0
0.051875,293,-2.96E-12,1002.15,1.00E+07,1002.15,-2.96E-12,0,0
0.053125,293,-5.23E-12,1002.15,1.00E+07,1002.15,-5.23E-12,0,0
0.054375,293,-3.05E-12,1002.15,1.00E+07,1002.15,-3.05E-12,0,0
0.055625,293,-3.50E-12,1002.15,1.00E+07,1002.15,-3.50E-12,0,0
0.056875,293,-3.09E-12,1002.15,1.00E+07,1002.15,-3.09E-12,0,0
0.058125,293,-3.35E-12,1002.15,1.00E+07,1002.15,-3.35E-12,0,0
0.059375,293,-3.43E-12,1002.15,1.00E+07,1002.15,-3.43E-12,0,0
0.060625,293,-5.08E-12,1002.15,1.00E+07,1002.15,-5.08E-12,0,0
0.061875,293,-1.74E-12,1002.15,1.00E+07,1002.15,-1.74E-12,0,0
0.063125,293,-3.41E-12,1002.15,1.00E+07,1002.15,-3.41E-12,0,0
0.064375,293,-3.52E-12,1002.15,1.00E+07,1002.15,-3.52E-12,0,0
0.065625,293,-2.55E-12,1002.15,1.00E+07,1002.15,-2.55E-12,0,0
0.066875,293,-3.42E-12,1002.15,1.00E+07,1002.15,-3.42E-12,0,0
0.068125,293,-8.70E-13,1002.15,1.00E+07,1002.15,-8.70E-13,0,0
0.069375,293,1.87E-12,1002.15,1.00E+07,1002.15,1.87E-12,0,0
0.070625,293,2.27E-12,1002.15,1.00E+07,1002.15,2.27E-12,0,0
0.071875,293,-2.01E-12,1002.15,1.00E+07,1002.15,-2.01E-12,0,0
0.073125,293,-5.15E-12,1002.15,1.00E+07,1002.15,-5.15E-12,0,0
0.074375,293,-9.67E-12,1002.15,1.00E+07,1002.15,-9.67E-12,0,0
0.075625,293,-6.15E-12,1002.15,1.00E+07,1002.15,-6.15E-12,0,0
0.076875,293,-6.00E-12,1002.15,1.00E+07,1002.15,-6.00E-12,0,0
0.078125,293,-5.25E-12,1002.15,1.00E+07,1002.15,-5.25E-12,0,0
0.079375,293,-1.22E-12,1002.15,1.00E+07,1002.15,-1.22E-12,0,0
0.080625,293,2.00E-12,1002.15,1.00E+07,1002.15,2.00E-12,0,0
0.081875,293,-1.78E-12,1002.15,1.00E+07,1002.15,-1.78E-12,0,0
0.083125,293,1.91E-12,1002.15,1.00E+07,1002.15,1.91E-12,0,0
0.084375,293,4.45E-12,1002.15,1.00E+07,1002.15,4.45E-12,0,0
0.085625,293,5.81E-12,1002.15,1.00E+07,1002.15,5.81E-12,0,0
0.086875,293,7.35E-12,1002.15,1.00E+07,1002.15,7.35E-12,0,0
0.088125,293,3.82E-12,1002.15,1.00E+07,1002.15,3.82E-12,0,0
0.089375,293,1.01E-12,1002.15,1.00E+07,1002.15,1.01E-12,0,0
0.090625,293,2.91E-13,1002.15,1.00E+07,1002.15,2.91E-13,0,0
0.091875,293,5.24E-13,1002.15,1.00E+07,1002.15,5.24E-13,0,0
0.093125,293,2.60E-13,1002.15,1.00E+07,1002.15,2.60E-13,0,0
0.094375,293,-2.54E-12,1002.15,1.00E+07,1002.15,-2.54E-12,0,0
0.095625,293,-3.72E-12,1002.15,1.00E+07,1002.15,-3.72E-12,0,0
0.096875,293,-7.04E-12,1002.15,1.00E+07,1002.15,-7.04E-12,0,0
0.098125,293,-4.46E-12,1002.15,1.00E+07,1002.15,-4.46E-12,0,0
0.099375,293,-6.52E-12,1002.15,1.00E+07,1002.15,-6.52E-12,0,0
0.100625,293,-7.13E-12,1002.15,1.00E+07,1002.15,-7.13E-12,0,0
0.101875,293,-6.99E-12,1002.15,1.00E+07,1002.15,-6.99E-12,0,0
0.103125,293,-1.11E-11,1002.15,1.00E+07,1002.15,-1.11E-11,0,0
0.104375,293,-1.05E-11,1002.15,1.00E+07,1002.15,-1.05E-11,0,0
0.105625,293,-9.87E-12,1002.15,1.00E+07,1002.15,-9.87E-12,0,0
0.106875,293,-2.01E-13,1002.15,1.00E+07,1002.15,-2.01E-13,0,0
0.108125,293,1.97E-12,1002.15,1.00E+07,1002.15,1.97E-12,0,0
0.109375,293,5.45E-12,1002.15,1.00E+07,1002.15,5.45E-12,0,0
0.110625,293,8.35E-12,1002.15,1.00E+07,1002.15,8.35E-12,0,0
0.111875,293,1.99E-12,1002.15,1.00E+07,1002.15,1.99E-12,0,0
0.113125,293,1.62E-12,1002.15,1.00E+07,1002.15,1.62E-12,0,0
0.114375,293,-1.54E-12,1002.15,1.00E+07,1002.15,-1.54E-12,0,0
0.115625,293,-4.19E-12,1002.15,1.00E+07,1002.15,-4.19E-12,0,0
0.116875,293,-4.18E-12,1002.15,1.00E+07,1002.15,-4.18E-12,0,0
0.118125,293,-5.03E-12,1002.15,1.00E+07,1002.15,-5.03E-12,0,0
0.119375,293,-4.24E-12,1002.15,1.00E+07,1002.15,-4.24E-12,0,0
0.120625,293,-1.54E-12,1002.15,1.00E+07,1002.15,-1.54E-12,0,0
0.121875,293,-9.84E-13,1002.15,1.00E+07,1002.15,-9.84E-13,0,0
0.123125,293,1.66E-12,1002.15,1.00E+07,1002.15,1.66E-12,0,0
0.124375,293,3.63E-12,1002.15,1.00E+07,1002.15,3.63E-12,0,0
0.125625,293,1.65E-12,1002.15,1.00E+07,1002.15,1.65E-12,0,0
0.126875,293,2.42E-12,1002.15,1.00E+07,1002.15,2.42E-12,0,0
0.128125,293,1.54E-12,1002.15,1.00E+07,1002.15,1.54E-12,0,0
0.129375,293,-1.90E-14,1002.15,1.00E+07,1002.15,-1.90E-14,0,0
0.130625,293,-5.09E-12,1002.15,1.00E+07,1002.15,-5.09E-12,0,0
0.131875,293,-5.53E-12,1002.15,1.00E+07,1002.15,-5.53E-12,0,0
0.133125,293,-6.14E-12,1002.15,1.00E+07,1002.15,-6.14E-12,0,0
0.134375,293,-1.18E-11,1002.15,1.00E+07,1002.15,-1.18E-11,0,0
0.135625,293,-7.55E-12,1002.15,1.00E+07,1002.15,-7.55E-12,0,0
0.136875,293,-5.81E-12,1002.15,1.00E+07,1002.15,-5.81E-12,0,0
0.138125,293,-6.73E-12,1002.15,1.00E+07,1002.15,-6.73E-12,0,0
0.139375,293,-3.62E-12,1002.15,1.00E+07,1002.15,-3.62E-12,0,0
0.140625,293,-2.01E-12,1002.15,1.00E+07,1002.15,-2.01E-12,0,0
0.141875,293,-8.54E-13,1002.15,1.00E+07,1002.15,-8.54E-13,0,0
0.143125,293,5.04E-12,1002.15,1.00E+07,1002.15,5.04E-12,0,0
0.144375,293,3.16E-12,1002.15,1.00E+07,1002.15,3.16E-12,0,0
