x,T,p,rho,U_0,U_1,U_2
0.000625,293,1e+07,1002.15,-7.54149e-11,0,0
0.001875,293,1e+07,1002.15,-3.6001e-11,0,0
0.003125,293,1e+07,1002.15,3.51088e-11,0,0
0.004375,293,1e+07,1002.15,3.51641e-11,0,0
0.005625,293,1e+07,1002.15,1.19735e-11,0,0
0.006875,293,1e+07,1002.15,4.57291e-12,0,0
0.008125,293,1e+07,1002.15,5.55869e-12,0,0
0.009375,293,1e+07,1002.15,2.82188e-11,0,0
0.010625,293,1e+07,1002.15,2.06316e-11,0,0
0.011875,293,1e+07,1002.15,-2.30384e-11,0,0
0.013125,293,1e+07,1002.15,-1.50072e-11,0,0
0.014375,293,1e+07,1002.15,9.38053e-12,0,0
0.015625,293,1e+07,1002.15,1.83679e-11,0,0
0.016875,293,1e+07,1002.15,7.03453e-12,0,0
0.018125,293,1e+07,1002.15,-2.7458e-11,0,0
0.019375,293,1e+07,1002.15,1.10829e-11,0,0
0.020625,293,1e+07,1002.15,1.0858e-11,0,0
0.021875,293,1e+07,1002.15,-1.14614e-11,0,0
0.023125,293,1e+07,1002.15,-1.45588e-11,0,0
0.024375,293,1e+07,1002.15,2.62521e-12,0,0
0.025625,293,1e+07,1002.15,1.13063e-11,0,0
0.026875,293,1e+07,1002.15,-1.35145e-11,0,0
0.028125,293,1e+07,1002.15,-1.05511e-11,0,0
0.029375,293,1e+07,1002.15,3.0614e-13,0,0
0.030625,293,1e+07,1002.15,-3.04548e-12,0,0
0.031875,293,1e+07,1002.15,6.56888e-12,0,0
0.033125,293,1e+07,1002.15,-2.5955e-11,0,0
0.034375,293,1e+07,1002.15,-2.69287e-11,0,0
0.035625,293,1e+07,1002.15,3.00767e-11,0,0
0.036875,293,1e+07,1002.15,9.22171e-12,0,0
0.038125,293,1e+07,1002.15,-1.41958e-11,0,0
0.039375,293,1e+07,1002.15,1.19535e-11,0,0
0.040625,293,1e+07,1002.15,1.21186e-11,0,0
0.041875,293,1e+07,1002.15,-3.01323e-11,0,0
0.043125,293,1e+07,1002.15,-7.08068e-12,0,0
0.044375,293,1e+07,1002.15,1.81112e-11,0,0
0.045625,293,1e+07,1002.15,-2.9531e-12,0,0
0.046875,293,1e+07,1002.15,-1.3861e-11,0,0
0.048125,293,1e+07,1002.15,-2.26469e-11,0,0
0.049375,293,1e+07,1002.15,-1.03413e-12,0,0
0.050625,293,1e+07,1002.15,1.98007e-11,0,0
0.051875,293,1e+07,1002.15,-5.49224e-12,0,0
0.053125,293,1e+07,1002.15,-2.0406e-11,0,0
0.054375,293,1e+07,1002.15,-3.38157e-12,0,0
0.055625,293,1e+07,1002.15,1.30286e-11,0,0
0.056875,293,1e+07,1002.15,-4.06126e-12,0,0
0.058125,293,1e+07,1002.15,-6.84387e-12,0,0
0.059375,293,1e+07,1002.15,1.45482e-12,0,0
0.060625,293,1e+07,1002.15,4.07724e-12,0,0
0.061875,293,1e+07,1002.15,3.7792e-12,0,0
0.063125,293,1e+07,1002.15,2.18736e-11,0,0
0.064375,293,1e+07,1002.15,2.22472e-11,0,0
0.065625,293,1e+07,1002.15,-2.48295e-12,0,0
0.066875,293,1e+07,1002.15,3.80896e-11,0,0
0.068125,293,1e+07,1002.15,3.86263e-11,0,0
0.069375,293,1e+07,1002.15,1.2961e-11,0,0
0.070625,293,1e+07,1002.15,5.54667e-12,0,0
0.071875,293,1e+07,1002.15,8.38132e-12,0,0
0.073125,293,1e+07,1002.15,3.45087e-11,0,0
0.074375,293,1e+07,1002.15,1.48534e-11,0,0
0.075625,293,1e+07,1002.15,1.73487e-11,0,0
0.076875,293,1e+07,1002.15,1.04142e-11,0,0
0.078125,293,1e+07,1002.15,-7.71853e-12,0,0
0.079375,293,1e+07,1002.15,1.6577e-11,0,0
0.080625,293,1e+07,1002.15,2.85903e-11,0,0
0.081875,293,1e+07,1002.15,1.7187e-11,0,0
0.083125,293,1e+07,1002.15,-6.84532e-12,0,0
0.084375,293,1e+07,1002.15,3.33599e-11,0,0
0.085625,293,1e+07,1002.15,2.94902e-11,0,0
0.086875,293,1e+07,1002.15,2.11694e-13,0,0
0.088125,293,1e+07,1002.15,4.38468e-12,0,0
0.089375,293,1e+07,1002.15,-1.65262e-11,0,0
0.090625,293,1e+07,1002.15,-3.02124e-12,0,0
0.091875,293,1e+07,1002.15,8.38492e-12,0,0
0.093125,293,1e+07,1002.15,-1.2582e-11,0,0
0.094375,293,1e+07,1002.15,-1.57442e-11,0,0
0.095625,293,1e+07,1002.15,1.52211e-11,0,0
0.096875,293,1e+07,1002.15,2.06914e-11,0,0
0.098125,293,1e+07,1002.15,-1.62239e-11,0,0
0.099375,293,1e+07,1002.15,-7.08128e-12,0,0
0.100625,293,1e+07,1002.15,1.07467e-11,0,0
0.101875,293,1e+07,1002.15,9.91844e-12,0,0
0.103125,293,1e+07,1002.15,1.40987e-11,0,0
0.104375,293,1e+07,1002.15,-1.08849e-11,0,0
0.105625,293,1e+07,1002.15,5.60842e-12,0,0
0.106875,293,1e+07,1002.15,3.05173e-11,0,0
0.108125,293,1e+07,1002.15,-1.51161e-11,0,0
0.109375,293,1e+07,1002.15,-3.34037e-12,0,0
0.110625,293,1e+07,1002.15,2.1961e-11,0,0
0.111875,293,1e+07,1002.15,-9.13144e-12,0,0
0.113125,293,1e+07,1002.15,-1.04024e-11,0,0
0.114375,293,1e+07,1002.15,1.05138e-11,0,0
0.115625,293,1e+07,1002.15,3.57302e-11,0,0
0.116875,293,1e+07,1002.15,3.10489e-11,0,0
0.118125,293,1e+07,1002.15,-1.94022e-11,0,0
0.119375,293,1e+07,1002.15,-1.66085e-11,0,0
0.120625,293,1e+07,1002.15,-1.39619e-11,0,0
0.121875,293,1e+07,1002.15,-1.51516e-11,0,0
0.123125,293,1e+07,1002.15,-2.12361e-11,0,0
0.124375,293,1e+07,1002.15,5.85068e-12,0,0
0.125625,293,1e+07,1002.15,2.58551e-11,0,0
