x,T,U_0,rho,p,rho,U_0,U_1,U_2
0.000625,293,-2.90E-12,1002.15,1.00E+07,1002.15,-2.90E-12,0,0
0.001875,293,-2.84E-12,1002.15,1.00E+07,1002.15,-2.84E-12,0,0
0.003125,293,-4.77E-12,1002.15,1.00E+07,1002.15,-4.77E-12,0,0
0.004375,293,-9.77E-12,1002.15,1.00E+07,1002.15,-9.77E-12,0,0
0.005625,293,-8.28E-12,1002.15,1.00E+07,1002.15,-8.28E-12,0,0
0.006875,293,-4.59E-12,1002.15,1.00E+07,1002.15,-4.59E-12,0,0
0.008125,293,-6.38E-12,1002.15,1.00E+07,1002.15,-6.38E-12,0,0
0.009375,293,-6.94E-12,1002.15,1.00E+07,1002.15,-6.94E-12,0,0
0.010625,293,-4.89E-12,1002.15,1.00E+07,1002.15,-4.89E-12,0,0
0.011875,293,-4.13E-12,1002.15,1.00E+07,1002.15,-4.13E-12,0,0
0.013125,293,-3.02E-12,1002.15,1.00E+07,1002.15,-3.02E-12,0,0
0.014375,293,1.71E-12,1002.15,1.00E+07,1002.15,1.71E-12,0,0
0.015625,293,3.86E-12,1002.15,1.00E+07,1002.15,3.86E-12,0,0
0.016875,293,5.26E-13,1002.15,1.00E+07,1002.15,5.26E-13,0,0
0.018125,293,2.44E-12,1002.15,1.00E+07,1002.15,2.44E-12,0,0
0.019375,293,6.17E-12,1002.15,1.00E+07,1002.15,6.17E-12,0,0
0.020625,293,7.60E-12,1002.15,1.00E+07,1002.15,7.60E-12,0,0
0.021875,293,8.38E-12,1002.15,1.00E+07,1002.15,8.38E-12,0,0
0.023125,293,6.78E-12,1002.15,1.00E+07,1002.15,6.78E-12,0,0
0.024375,293,4.63E-12,1002.15,1.00E+07,1002.15,4.63E-12,0,0
0.025625,293,4.18E-12,1002.15,1.00E+07,1002.15,4.18E-12,0,0
0.026875,293,5.12E-12,1002.15,1.00E+07,1002.15,5.12E-12,0,0
0.028125,293,3.42E-12,1002.15,1.00E+07,1002.15,3.42E-12,0,0
0.029375,293,3.88E-12,1002.15,1.00E+07,1002.15,3.88E-12,0,0
0.030625,293,6.71E-12,1002.15,1.00E+07,1002.15,6.71E-12,0,0
0.031875,293,9.28E-12,1002.15,1.00E+07,1002.15,9.28E-12,0,0
0.033125,293,6.90E-12,1002.15,1.00E+07,1002.15,6.90E-12,0,0
0.034375,293,6.90E-12,1002.15,1.00E+07,1002.15,6.90E-12,0,0
0.035625,293,9.82E-12,1002.15,1.00E+07,1002.15,9.82E-12,0,0
0.036875,293,1.04E-11,1002.15,1.00E+07,1002.15,1.04E-11,0,0
0.038125,293,1.17E-11,1002.15,1.00E+07,1002.15,1.17E-11,0,0
0.039375,293,1.46E-11,1002.15,1.00E+07,1002.15,1.46E-11,0,0
0.040625,293,1.71E-11,1002.15,1.00E+07,1002.15,1.71E-11,0,0
0.041875,293,1.47E-11,1002.15,1.00E+07,1002.15,1.47E-11,0,0
0.043125,293,9.78E-12,1002.15,1.00E+07,1002.15,9.78E-12,0,0
0.044375,293,2.87E-12,1002.15,1.00E+07,1002.15,2.87E-12,0,0
0.045625,293,3.71E-13,1002.15,1.00E+07,1002.15,3.71E-13,0,0
0.046875,293,7.17E-13,1002.15,1.00E+07,1002.15,7.17E-13,0,0
0.048125,293,-3.01E-12,1002.15,1.00E+07,1002.15,-3.01E-12,0,0
0.049375,293,-6.77E-12,1002.15,1.00E+07,1002.15,-6.77E-12,0,0
0.050625,293,-3.29E-12,1002.15,1.00E+07,1002.15,-3.29E-12,0,0
0.051875,293,-1.94E-12,1002.15,1.00E+07,1002.15,-1.94E-12,0,0
0.053125,293,-1.55E-12,1002.15,1.00E+07,1002.15,-1.55E-12,0,0
0.054375,293,8.73E-13,1002.15,1.00E+07,1002.15,8.73E-13,0,0
0.055625,293,-2.32E-12,1002.15,1.00E+07,1002.15,-2.32E-12,0,0
0.056875,293,-4.87E-12,1002.15,1.00E+07,1002.15,-4.87E-12,0,0
0.058125,293,-4.79E-12,1002.15,1.00E+07,1002.15,-4.79E-12,0,0
0.059375,293,-1.10E-11,1002.15,1.00E+07,1002.15,-1.10E-11,0,0
0.060625,293,-1.40E-11,1002.15,1.00E+07,1002.15,-1.40E-11,0,0
0.061875,293,-9.51E-12,1002.15,1.00E+07,1002.15,-9.51E-12,0,0
0.063125,293,-4.07E-12,1002.15,1.00E+07,1002.15,-4.07E-12,0,0
0.064375,293,-1.25E-12,1002.15,1.00E+07,1002.15,-1.25E-12,0,0
0.065625,293,-2.98E-12,1002.15,1.00E+07,1002.15,-2.98E-12,0,0
0.066875,293,-1.80E-12,1002.15,1.00E+07,1002.15,-1.80E-12,0,0
0.068125,293,-1.55E-12,1002.15,1.00E+07,1002.15,-1.55E-12,0,0
0.069375,293,-5.37E-12,1002.15,1.00E+07,1002.15,-5.37E-12,0,0
0.070625,293,-1.49E-12,1002.15,1.00E+07,1002.15,-1.49E-12,0,0
0.071875,293,7.31E-12,1002.15,1.00E+07,1002.15,7.31E-12,0,0
0.073125,293,1.10E-11,1002.15,1.00E+07,1002.15,1.10E-11,0,0
