x,T,U_0,rho,p,U_1,U_2
0.000625,293,-9.47E-14,1002.15,1.00E+07,0,0
0.001875,293,-1.30E-13,1002.15,1.00E+07,0,0
0.003125,293,-5.48E-14,1002.15,1.00E+07,0,0
0.004375,293,-4.04E-14,1002.15,1.00E+07,0,0
0.005625,293,2.24E-14,1002.15,1.00E+07,0,0
0.006875,293,6.48E-14,1002.15,1.00E+07,0,0
0.008125,293,4.46E-14,1002.15,1.00E+07,0,0
0.009375,293,4.26E-14,1002.15,1.00E+07,0,0
0.010625,293,-8.98E-14,1002.15,1.00E+07,0,0
0.011875,293,-1.88E-13,1002.15,1.00E+07,0,0
0.013125,293,-8.82E-14,1002.15,1.00E+07,0,0
0.014375,293,-4.90E-14,1002.15,1.00E+07,0,0
0.015625,293,1.88E-14,1002.15,1.00E+07,0,0
0.016875,293,1.17E-13,1002.15,1.00E+07,0,0
0.018125,293,1.36E-14,1002.15,1.00E+07,0,0
0.019375,293,-4.18E-14,1002.15,1.00E+07,0,0
0.020625,293,-5.73E-14,1002.15,1.00E+07,0,0
0.021875,293,-6.56E-14,1002.15,1.00E+07,0,0
0.023125,293,-4.44E-14,1002.15,1.00E+07,0,0
0.024375,293,-5.11E-14,1002.15,1.00E+07,0,0
0.025625,293,-4.57E-14,1002.15,1.00E+07,0,0
0.026875,293,-1.08E-13,1002.15,1.00E+07,0,0
0.028125,293,-1.20E-13,1002.15,1.00E+07,0,0
0.029375,293,-9.72E-14,1002.15,1.00E+07,0,0
0.030625,293,4.68E-14,1002.15,1.00E+07,0,0
0.031875,293,1.02E-13,1002.15,1.00E+07,0,0
0.033125,293,7.70E-14,1002.15,1.00E+07,0,0
0.034375,293,1.25E-13,1002.15,1.00E+07,0,0
0.035625,293,1.59E-13,1002.15,1.00E+07,0,0
0.036875,293,2.14E-13,1002.15,1.00E+07,0,0
0.038125,293,1.91E-13,1002.15,1.00E+07,0,0
0.039375,293,1.58E-13,1002.15,1.00E+07,0,0
0.040625,293,1.25E-13,1002.15,1.00E+07,0,0
0.041875,293,1.31E-13,1002.15,1.00E+07,0,0
0.043125,293,1.00E-13,1002.15,1.00E+07,0,0
0.044375,293,1.92E-14,1002.15,1.00E+07,0,0
0.045625,293,2.75E-14,1002.15,1.00E+07,0,0
0.046875,293,8.66E-14,1002.15,1.00E+07,0,0
0.048125,293,8.71E-14,1002.15,1.00E+07,0,0
0.049375,293,7.42E-14,1002.15,1.00E+07,0,0
0.050625,293,1.37E-13,1002.15,1.00E+07,0,0
0.051875,293,2.68E-13,1002.15,1.00E+07,0,0
0.053125,293,2.86E-13,1002.15,1.00E+07,0,0
0.054375,293,2.47E-13,1002.15,1.00E+07,0,0
0.055625,293,2.87E-13,1002.15,1.00E+07,0,0
0.056875,293,3.72E-13,1002.15,1.00E+07,0,0
0.058125,293,3.10E-13,1002.15,1.00E+07,0,0
0.059375,293,2.51E-13,1002.15,1.00E+07,0,0
0.060625,293,2.02E-13,1002.15,1.00E+07,0,0
0.061875,293,1.41E-13,1002.15,1.00E+07,0,0
