distance,T,p,U_0,U_1,U_2
0.00155556,266.442,13218.8,424.297,-1.09884,0
0.00311111,174.557,5036.48,580.174,-162.279,0
0.00466667,146.325,4177.66,607.247,-195.916,0
0.00622222,130.926,3804.07,622.928,-205.198,0
0.00777778,122.561,3689.23,632.636,-208.342,0
0.00933333,115.507,3571.89,642.179,-208.612,0
0.0108889,110.585,3523.56,648.883,-210.258,0
0.0124444,107.194,3476.3,654.296,-211.162,0
0.014,104.596,3442.03,658.55,-212.873,0
0.0155556,103.807,3440.67,660.572,-212.588,0
0.0171111,104.38,3497.1,660.781,-211.421,0
0.0186667,104.289,3494.23,661.469,-211.001,0
0.0202222,104.341,3488.45,661.626,-210.699,0
0.0217778,104.219,3488.94,662.039,-210.373,0
0.0233333,104.446,3506.65,661.686,-210.128,0
0.0248889,104.709,3529.85,661.644,-209.122,0
0.0264444,104.77,3534.6,661.62,-208.999,0
0.028,104.941,3538.63,661.425,-208.738,0
0.0295556,104.815,3537.69,661.65,-208.532,0
0.0311111,104.855,3544.56,661.61,-208.418,0
0.0326667,103.36,3365.73,661.448,-216.053,0
0.0342222,105.016,3552.06,661.502,-208.04,0
0.0357778,105.071,3553.17,661.489,-207.881,0
0.0373333,105.05,3555.31,661.519,-207.863,0
0.0388889,105.085,3559.99,661.493,-207.751,0
0.0404444,105.099,3560.91,661.498,-207.642,0
0.042,105.086,3561.49,661.542,-207.629,0
0.0435556,105.093,3562.85,661.57,-207.557,0
0.0451111,105.117,3565.15,661.565,-207.492,0
0.0466667,105.125,3566.36,661.585,-207.392,0
0.0482222,105.136,3566.92,661.583,-207.315,0
0.0497778,105.187,3570.18,661.532,-207.21,0
0.0513333,105.175,3571.42,661.579,-207.12,0
0.0528889,105.198,3573.88,661.578,-207.058,0
0.0544444,105.184,3573.75,661.629,-207.013,0
0.056,105.204,3574.47,661.597,-206.974,0
0.0575556,105.201,3574.74,661.6,-206.978,0
0.0591111,105.228,3576.52,661.573,-206.929,0
0.0606667,105.218,3576.66,661.6,-206.895,0
0.0622222,105.212,3577.22,661.624,-206.875,0
0.0637778,105.202,3576.96,661.65,-206.858,0
0.0653333,105.212,3578.13,661.66,-206.831,0
0.0668889,105.265,3579.54,661.592,-206.775,0
0.0684444,104.664,3508.68,661.519,-209.91,0
0.07,105.638,3622.43,661.158,-205.828,0
0.0715556,123.347,5529,646.49,-145.915,0
0.0731111,138.849,8113.11,634.856,-80.4458,0
0.0746667,154.77,11419.5,616.871,-15.3583,0
0.0762222,159.444,12352.7,609.584,-12.7387,0
0.0777778,159.723,12454.5,609.234,-7.24905,0
0.0793333,159.855,12493.7,609.02,-5.99871,0
0.0808889,160.234,12632.3,608.439,-5.76194,0
0.0824444,160.194,12653.3,608.497,-5.14898,0
0.084,160.428,12725.3,608.139,-4.43023,0
0.0855556,160.378,12739.1,608.257,-4.00427,0
0.0871111,160.729,12824.2,608.15,-3.26111,0
0.0886667,160.804,12843,608.023,-3.0067,0
0.0902222,160.572,12824.5,607.985,-3.08265,0
0.0917778,160.724,12875.3,607.723,-2.84724,0
0.0933333,160.828,12906.6,607.535,-2.74141,0
0.0948889,160.921,12942.2,607.307,-2.40006,0
0.0964444,160.95,12959,607.277,-2.27104,0
0.098,160.984,12978.7,607.231,-2.12332,0
0.0995556,161.326,13026.3,606.921,-1.66228,0
0.101111,161.136,13039.4,606.98,-1.69757,0
0.102667,161.07,13038,607.093,-1.40425,0
0.104222,161.089,13051.2,607.061,-0.843552,0
0.105778,161.186,13068.4,606.899,-0.662797,0
0.107333,161.174,13075.8,606.928,-0.505882,0
0.108889,161.231,13090.6,606.839,-0.419694,0
0.110444,161.286,13113.4,606.77,-0.331724,0
0.112,161.308,13122.8,606.733,-0.331865,0
0.113556,161.333,13133.1,606.688,-0.34011,0
0.115111,161.364,13145,606.633,-0.359294,0
0.116667,161.4,13158.1,606.57,-0.350339,0
0.118222,161.466,13184.4,606.465,-0.207244,0
0.119778,161.535,13202.5,606.351,-0.122939,0
0.121333,161.557,13215.6,606.309,0.0203261,0
0.122889,161.626,13234.3,606.189,0.0680707,0
0.124444,161.924,13247.1,605.773,0.254416,0
0.126,161.685,13256.7,606.074,0.185041,0
0.127556,161.696,13262.2,606.041,0.2356,0
0.129111,161.682,13265,606.045,0.379272,0
0.130667,161.689,13264.8,606.033,0.494418,0
0.132222,161.643,13259.8,606.111,0.615652,0
0.133778,161.659,13261.4,606.083,0.767574,0
0.135333,161.907,13264.9,605.728,0.908701,0
0.136889,161.952,13273.8,605.651,1.02155,0
0.138444,161.951,13280.5,605.649,1.13937,0
0.14,161.991,13291.8,605.578,1.18414,0
0.141556,161.748,13301.7,605.925,1.14272,0
0.143111,161.792,13315.2,605.849,1.13742,0
0.144667,161.834,13328.8,605.777,1.1657,0
0.146222,161.882,13342.7,605.695,1.15593,0
0.147778,161.908,13353.3,605.644,1.20386,0
0.149333,161.949,13364.7,605.571,1.24555,0
0.150889,161.954,13370,605.549,1.32878,0
0.152444,161.968,13375.5,605.503,1.35853,0
0.154,161.954,13374.5,605.509,1.39418,0
