distance,T,p,U_0,U_1,U_2,,,HLLC,HLL
0,355.816,3499.4,12.2701,-4.82333,0,,,0.262784795,0.26252572
0.00153939,355.452,3476.52,19.8396,0.570935,0,,,0.261066639,0.262179535
0.00307879,355.531,3469.21,15.5866,0.704137,0,,,0.2605177,0.261496929
0.00461818,355.195,3446.54,6.32509,3.11946,0,,,0.258815313,0.258392533
0.00615758,350.548,3419.89,-42.5796,10.2666,0,,,0.256814052,0.251592749
0.00769697,347.235,3341.12,-109.409,4.68148,0,,,0.250898878,0.246439782
0.00923636,343.468,3281.33,-145.624,2.61694,0,,,0.246408993,0.244292838
0.0107758,340.483,3273.73,-167.229,2.00753,0,,,0.245838277,0.244922127
0.0123152,338.055,3312.96,-181.662,1.71232,0,,,0.248784224,0.248538666
0.0138545,336.879,3368.5,-187.752,1.64467,0,,,0.252954958,0.253184747
0.0153939,336.081,3509.96,-191.114,1.51102,0,,,0.26357779,0.26443837
0.0169333,336.461,3725.44,-187.534,0.680466,0,,,0.279759098,0.281471246
0.0184727,337.398,3915.01,-181.212,0.214288,0,,,0.293994713,0.296437529
0.0200121,339.622,4272.71,-166.596,-0.662167,0,,,0.320855924,0.324353063
0.0215515,341.456,4559.23,-153.399,-1.2298,0,,,0.342371927,0.346587718
0.0230909,344.488,5062.33,-128.841,-2.1405,0,,,0.380151841,0.385325834
0.0246303,346.451,5440.54,-110.1,-2.68211,0,,,0.408553234,0.414590811
0.0261697,348.197,5849.7,-90.1035,-3.08611,0,,,0.439278795,0.446288092
0.0277091,350.271,6520.85,-58.3907,-3.81679,0,,,0.489678296,0.497987474
0.0292485,351.155,6993.06,-36.573,-4.10588,0,,,0.525138549,0.53439842
0.0307879,351.599,7480.57,-14.1687,-4.46457,0,,,0.561747743,0.571410871
0.0323273,351.539,7974.07,8.12874,-4.25331,0,,,0.598806752,0.608559242
0.0338667,350.536,8708.84,41.7892,-3.2867,0,,,0.65398375,0.662903444
0.0354061,349.342,9181.43,63.6669,-3.23635,0,,,0.689472538,0.697578962
0.0369455,347.803,9632.56,84.549,-3.11022,0,,,0.723349804,0.730524308
0.0384848,345.964,10058.4,104.423,-2.99091,0,,,0.755327937,0.761523212
0.0400242,343.832,10453.2,123.564,-2.88101,0,,,0.784975144,0.790269288
0.0415636,341.499,10816.9,141.854,-2.75836,0,,,0.81228692,0.81658982
0.043103,338.998,11143.8,158.937,-2.63153,0,,,0.836835228,0.840364658
0.0446424,336.362,11432.7,174.822,-2.43781,0,,,0.858529955,0.861458631
0.0461818,333.623,11684.8,189.863,-2.25475,0,,,0.877461214,0.879616419
0.0477212,330.822,11899.5,204.059,-2.0552,0,,,0.893583948,0.894890588
0.0492606,328.019,12082.9,217.254,-1.87641,0,,,0.907356232,0.907709175
0.0508,326.666,12167.6,223.512,-1.77914,0,,,0.913716714,0.91325113
0.0523394,324.013,12314.6,234.986,-1.59531,0,,,0.924755568,0.923771834
0.0538788,321.432,12435.3,245.698,-1.44415,0,,,0.933819443,0.932828199
0.0554182,318.949,12535,255.547,-1.29394,0,,,0.941306339,0.939654266
0.0569576,316.604,12619.7,264.508,-1.15095,0,,,0.947666822,0.945196221
0.058497,315.477,12655.3,268.652,-1.07773,0,,,0.950340177,0.947884595
0.0600364,313.347,12720.8,276.465,-0.962446,0,,,0.95525885,0.952577985
0.0615758,311.36,12775.4,283.56,-0.855833,0,,,0.959358996,0.956422811
0.0631152,310.411,12799.2,286.908,-0.814857,0,,,0.961146239,0.957962243
0.0646545,308.531,12827.7,293.416,-0.742248,0,,,0.963286424,0.960815824
0.0661939,306.729,12838.9,299.559,-0.645789,0,,,0.96412748,0.962700689
0.0677333,305.917,12847.5,302.287,-0.595595,0,,,0.96477329,0.963293934
0.0692727,304.492,12872.3,307.039,-0.512842,0,,,0.966635628,0.964315216
0.0708121,303.826,12885.4,309.248,-0.490225,0,,,0.967619362,0.964885932
0.0723515,302.51,12898.8,313.564,-0.438765,0,,,0.968625625,0.966312722
0.0738909,301.296,12907.8,317.511,-0.383209,0,,,0.969301473,0.967822117
0.0754303,300.742,12913.1,319.305,-0.357331,0,,,0.969699473,0.968655663
0.0769697,299.728,12925.1,322.575,-0.31348,0,,,0.970600604,0.970322755
0.0785091,299.259,12931.7,324.081,-0.292447,0,,,0.971096226,0.971073697
0.0800485,298.418,12949,326.782,-0.255695,0,,,0.972395356,0.972568073
0.0815879,298.053,12961,327.954,-0.239732,0,,,0.973296487,0.973634411
0.0831273,297.716,12974.8,329.035,-0.223991,0,,,0.974332788,0.974723278
0.0846667,297.118,13006.2,330.952,-0.19869,0,,,0.976690747,0.976472974
0.0862061,296.807,13021.2,331.941,-0.206289,0,,,0.977817161,0.976135049
0.0877455,296.115,13021.9,334.133,-0.199446,0,,,0.977869727,0.97299611
0.0892848,295.698,13006.5,335.452,-0.169919,0,,,0.976713275,0.969969812
0.0908242,295.077,12981,337.376,-0.178793,0,,,0.974798372,0.973919769
0.0923636,294.963,13029.5,337.867,-0.0931792,0,,,0.978440443,0.973792109
0.093903,294.616,13027.1,338.972,-0.128532,0,,,0.978260217,0.977133803
0.0954424,294.647,13057.9,338.945,-0.0934382,0,,,0.980573119,0.979326555
0.0969818,294.486,13103.2,339.498,-0.102276,0,,,0.983974888,0.98303621
0.0985212,294.372,13124.8,339.874,-0.107951,0,,,0.985596924,0.984275265
0.100061,294.241,13142.3,340.299,-0.105029,0,,,0.986911073,0.985266509
0.1016,293.941,13167,341.269,-0.0977315,0,,,0.988765901,0.987256507
0.103139,293.782,13175.5,341.78,-0.0928768,0,,,0.989404202,0.988315336
0.104679,293.623,13182.8,342.296,-0.0879353,0,,,0.98995239,0.989366655
0.106218,293.462,13187.3,342.818,-0.0820702,0,,,0.990290314,0.990125107
0.107758,293.138,13190.3,343.877,-0.0699376,0,,,0.990515597,0.991274049
0.109297,292.985,13190.8,344.395,-0.0618767,0,,,0.990553144,0.991807218
0.110836,292.86,13192.9,344.816,-0.0542109,0,,,0.990710842,0.992407972
0.112376,292.754,13196,345.2,-0.0483526,0,,,0.990943634,0.993061292
0.113915,292.569,13203.6,345.869,-0.0414395,0,,,0.991514351,0.994052536
0.115455,292.494,13208.7,346.143,-0.0379786,0,,,0.991897331,0.994570686
0.116994,292.431,13214.6,346.396,-0.0346407,0,,,0.992340387,0.995126384
0.118533,292.38,13221.4,346.598,-0.0312601,0,,,0.992851028,0.995501855
0.120073,292.333,13229.6,346.802,-0.0320521,0,,,0.993466801,0.995832269
0.121612,292.31,13239.5,346.912,-0.0227484,0,,,0.994210234,0.995787213
0.123152,292.311,13250.7,346.993,-0.0201406,0,,,0.995051289,0.99568959
0.124691,292.325,13273.4,347.068,-0.0115308,0,,,0.996755929,0.994705856
0.12623,292.335,13284.3,347.099,-0.0097765,0,,,0.997574456,0.995591968
0.12777,292.345,13293.6,347.138,-0.00698155,0,,,0.998272832,0.995652043
0.129309,292.36,13303.3,347.146,-0.00351122,0,,,0.999001247,0.995659553
0.130848,292.382,13313.5,347.135,-0.00207678,0,,,0.999767208,0.996230269
0.132388,292.408,13323.5,347.113,-0.00102266,0,,,1.00051815,0.996695853
