distance,T,p,U_0,U_1,U_2
0.00155556,210.738,12510.6,462.824,0.28985,0
0.00311111,155.401,5502.61,569.262,-149.728,0
0.00466667,140.215,4563.07,597.234,-182.346,0
0.00622222,131.345,4133.01,617.383,-191.964,0
0.00777778,125.03,3907.27,630.106,-200.996,0
0.00933333,120.297,3756.92,640.4,-204.683,0
0.0108889,117.141,3674.79,646.753,-207.898,0
0.0124444,114.831,3615.06,651.62,-208.49,0
0.014,113.087,3589.96,655.16,-209.652,0
0.0155556,112.074,3578.9,657.112,-209.893,0
0.0171111,110.741,3565.8,659.136,-209.807,0
0.0186667,109.685,3558.55,660.255,-209.838,0
0.0202222,109.111,3555.37,660.802,-209.679,0
0.0217778,108.393,3554.39,661.252,-209.334,0
0.0233333,108.004,3555.05,661.38,-209.095,0
0.0248889,107.52,3556.99,661.533,-208.762,0
0.0264444,107.254,3558.24,661.6,-208.52,0
0.028,106.911,3560.6,661.633,-208.18,0
0.0295556,106.695,3561.8,661.706,-207.929,0
0.0311111,106.543,3565.67,661.722,-207.6,0
0.0326667,105.635,3411.94,661.16,-214.347,0
0.0342222,106.353,3585.9,661.677,-206.617,0
0.0357778,106.214,3588.52,661.693,-206.441,0
0.0373333,106.098,3590.41,661.626,-206.342,0
0.0388889,106.019,3593.9,661.557,-206.28,0
0.0404444,105.966,3599.19,661.454,-206.284,0
0.042,105.922,3606.74,661.323,-206.292,0
0.0435556,105.843,3610.09,661.284,-206.237,0
0.0451111,105.746,3609.67,661.289,-206.118,0
0.0466667,105.698,3607.92,661.293,-205.925,0
0.0482222,105.674,3606.72,661.275,-205.786,0
0.0497778,105.671,3609.04,661.229,-205.629,0
0.0513333,105.624,3610.6,661.261,-205.534,0
0.0528889,105.597,3612.4,661.281,-205.45,0
0.0544444,105.583,3614.25,661.316,-205.37,0
0.056,105.608,3617.99,661.321,-205.303,0
0.0575556,105.615,3618.9,661.336,-205.281,0
0.0591111,105.647,3621.79,661.345,-205.259,0
0.0606667,105.688,3622.96,661.4,-205.147,0
0.0622222,105.858,3621.4,661.507,-204.687,0
0.0637778,106.394,3650.68,661.101,-204.482,0
0.0653333,122.473,4573.58,651.548,-183.927,0
0.0668889,150.817,8235.45,622.716,-92.3478,0
0.0684444,153.679,11547.4,617.009,-8.31214,0
0.07,155.51,11915.7,614.812,-18.5426,0
0.0715556,157.561,12382.9,611.706,-9.93226,0
0.0731111,158.72,12527.2,610.053,-7.67765,0
0.0746667,158.68,12538,610.285,-4.4814,0
0.0762222,158.401,12503.6,610.865,-3.19017,0
0.0777778,159.237,12616.3,609.926,-2.70748,0
0.0793333,159.597,12691.2,609.392,-2.98525,0
0.0808889,160.151,12832.9,608.559,-3.83021,0
0.0824444,160.257,12865.9,608.351,-3.67958,0
0.084,160.515,12909.1,608.074,-3.05324,0
0.0855556,160.606,12932.8,607.957,-2.75595,0
0.0871111,160.891,13005.7,607.479,-2.26565,0
0.0886667,161.037,13036.6,607.264,-2.22083,0
0.0902222,161.116,13057.1,607.082,-2.38738,0
0.0917778,161.202,13071.1,606.955,-1.72579,0
0.0933333,161.11,13062.3,607.122,-1.31474,0
0.0948889,161.198,13080.3,606.999,-0.753304,0
0.0964444,161.285,13092.5,606.882,-0.616032,0
0.098,161.307,13099,606.865,-0.519405,0
0.0995556,161.494,13119.7,606.625,-0.450479,0
0.101111,161.442,13129.6,606.69,-0.513342,0
0.102667,161.48,13138.9,606.627,-0.505986,0
0.104222,161.539,13156.7,606.504,-0.397805,0
0.105778,161.592,13169.2,606.4,-0.322748,0
0.107333,161.606,13176.5,606.364,-0.198503,0
0.108889,161.642,13185.9,606.29,-0.170172,0
0.110444,161.647,13189,606.252,-0.158351,0
0.112,161.639,13187.7,606.257,-0.162551,0
0.113556,161.627,13185.7,606.269,-0.156612,0
0.115111,161.617,13183.4,606.281,-0.132119,0
0.116667,161.609,13181.2,606.294,-0.0870413,0
0.118222,161.609,13185.9,606.281,0.0803731,0
0.119778,161.674,13198.2,606.177,0.197725,0
0.121333,161.682,13209.6,606.159,0.374141,0
0.122889,161.786,13233.4,605.982,0.557014,0
0.124444,162.042,13258.4,605.613,0.987905,0
0.126,161.913,13276.5,605.776,0.954705,0
0.127556,161.932,13288.9,605.739,1.15549,0
0.129111,162.006,13314.5,605.597,1.20984,0
0.130667,162.02,13321,605.559,1.19645,0
0.132222,162.035,13327.4,605.512,1.17766,0
0.133778,162.041,13331.8,605.486,1.13296,0
0.135333,162.311,13336.3,605.096,1.13574,0
0.136889,162.327,13340.7,605.055,1.09994,0
0.138444,162.347,13345.6,605.007,1.09189,0
0.14,162.364,13349.6,604.97,1.08656,0
0.141556,162.104,13352.6,605.324,1.06629,0
0.143111,162.112,13355.5,605.305,1.0831,0
0.144667,162.116,13357.8,605.298,1.10324,0
0.146222,162.118,13358.3,605.298,1.12959,0
0.147778,162.115,13358,605.303,1.15964,0
0.149333,162.106,13356.6,605.323,1.18869,0
0.150889,162.107,13355.4,605.324,1.22853,0
0.152444,162.086,13351.7,605.359,1.25688,0
0.154,162.084,13349.9,605.362,1.29418,0
