distance,T,p,U_0,U_1,U_2,,
0,225.293,2370.45,3.22999,-1.49347,0,,0.178007149
0.00153939,225.747,2350.23,-11.7605,2.82832,0,,0.176488743
0.00307879,225.809,2274.47,-71.1362,5.56984,0,,0.170799604
0.00461818,224.321,2125.19,-125.926,1.69534,0,,0.159589535
0.00615758,221.411,2040.11,-159.635,0.900061,0,,0.153200517
0.00769697,219.476,2032.77,-179.705,1.29721,0,,0.152649325
0.00923636,218.514,2084.73,-192.528,1.79755,0,,0.156551222
0.0107758,218.876,2216.2,-197.262,2.4164,0,,0.166423862
0.0123152,221.17,2448.35,-192.721,1.13678,0,,0.183856991
0.0138545,223.77,2674.49,-183.329,0.120348,0,,0.200838803
0.0153939,228.915,3133.05,-159.374,-1.69291,0,,0.235274019
0.0169333,235.648,3760.93,-124.994,-3.69759,0,,0.282424192
0.0184727,240.652,4277.95,-97.5503,-4.93948,0,,0.321249418
0.0200121,247.913,5178.36,-51.6578,-6.33827,0,,0.388865026
0.0215515,251.954,5832.5,-20.9281,-6.63817,0,,0.437987174
0.0230909,258.263,6795.13,17.9228,-4.82488,0,,0.510275145
0.0246303,259.728,7414.33,43.0822,-5.02344,0,,0.556773501
0.0261697,260.767,8018.46,68.4855,-4.87209,0,,0.602140186
0.0277091,261.619,8850.08,102.763,-4.29975,0,,0.664590061
0.0292485,261.858,9353.08,123.447,-3.91846,0,,0.702362465
0.0307879,261.999,9811.92,142.125,-3.54229,0,,0.736818707
0.0323273,261.966,10222.5,158.756,-3.17203,0,,0.767650902
0.0338667,261.583,10739.6,181.794,-2.65437,0,,0.806482135
0.0354061,261.26,11012.7,195.907,-2.33166,0,,0.826990373
0.0369455,261.126,11238.7,208.359,-1.88128,0,,0.843961672
0.0384848,261.061,11439.7,219.335,-1.53107,0,,0.859055615
0.0400242,260.915,11604.1,229.552,-1.31693,0,,0.871401108
0.0415636,260.808,11729.9,239.134,-1.1039,0,,0.880847964
0.043103,260.824,11835.7,247.533,-0.911368,0,,0.888792935
0.0446424,260.976,11926.8,254.885,-0.726022,0,,0.895634021
0.0461818,261.217,12009.9,261.282,-0.589714,0,,0.901874352
0.0477212,261.575,12086.8,266.916,-0.456793,0,,0.9076491
0.0492606,261.951,12163.1,271.796,-0.422902,0,,0.91337879
0.0508,262.242,12199.5,274.398,-0.29954,0,,0.916112221
0.0523394,262.93,12317,277.314,-0.289591,0,,0.924935794
0.0538788,263.338,12362.9,281.71,-0.212351,0,,0.92838262
0.0554182,264.049,12460.4,284.077,-0.207059,0,,0.935704309
0.0569576,264.349,12490.7,287.664,-0.242499,0,,0.937979664
0.058497,264.618,12502.1,290.085,-0.0784067,0,,0.938835739
0.0600364,265.651,12629.1,290.73,-0.126923,0,,0.948372708
0.0615758,266.007,12651.3,293.508,-0.17221,0,,0.9500398
0.0631152,266.26,12658.5,295.529,-0.0330579,0,,0.950580479
0.0646545,267.243,12770.4,295.958,-0.0725851,0,,0.958983524
0.0661939,267.692,12789.4,298.418,-0.0555926,0,,0.960410315
0.0677333,268.1,12822.3,298.962,-0.0497936,0,,0.962880916
0.0692727,268.596,12850.6,300.785,-0.0627587,0,,0.965006083
0.0708121,268.847,12857.7,302.218,-0.0083964,0,,0.965539252
0.0723515,269.741,12935.9,302.591,-0.027085,0,,0.971411622
0.0738909,270.273,12956.7,304.218,-0.0191357,0,,0.972973582
0.0754303,270.637,12980.7,304.68,-0.0192905,0,,0.974775844
0.0769697,271.194,13004.5,305.977,-0.0185596,0,,0.976563087
0.0785091,271.436,13010.8,306.734,-0.0283649,0,,0.97703618
0.0800485,271.826,12999.4,308.5,-0.0357071,0,,0.976180106
0.0815879,272.044,12986.7,309.464,-0.0165759,0,,0.975226409
0.0831273,272.304,12980.4,310.195,-0.0221797,0,,0.974753315
0.0846667,273.107,12994.1,311.084,0.0144308,0,,0.975782107
0.0862061,273.502,13010.2,311.229,0.0183286,0,,0.976991124
0.0877455,274.202,13041.8,311.669,0.00976523,0,,0.979364102
0.0892848,274.51,13055.9,311.973,0.00565356,0,,0.980422931
0.0908242,274.767,13061,312.387,-0.00820947,0,,0.980805911
0.0923636,275.208,13044.9,313.589,-0.00760291,0,,0.979596894
0.093903,275.499,13040.2,314.063,-0.00566824,0,,0.979243951
0.0954424,275.807,13040.9,314.389,0.00618176,0,,0.979296517
0.0969818,276.677,13078.5,314.344,0.0165901,0,,0.982120061
0.0985212,277.096,13103.5,314.224,0.0277114,0,,0.983997417
0.100061,277.567,13137.4,313.934,0.0249894,0,,0.986543112
0.1016,278.361,13203.2,313.537,0.0278743,0,,0.991484313
0.103139,278.701,13233.5,313.41,0.00929265,0,,0.993759668
0.104679,279.005,13258.7,313.425,0.00154038,0,,0.995652043
0.106218,279.291,13279.8,313.497,-0.000551086,0,,0.997236532
0.107758,279.781,13300.9,313.913,-0.00807685,0,,0.99882102
0.109297,279.958,13297.4,314.303,-0.00598859,0,,0.998558191
0.110836,280.15,13290.7,314.749,-0.00694303,0,,0.998055059
0.112376,280.376,13285.5,315.137,-0.00258939,0,,0.997664569
0.113915,280.856,13281.5,315.721,0.00937626,0,,0.997364192
0.115455,281.125,13285,315.828,0.0155705,0,,0.997627022
0.116994,281.385,13288.1,315.996,0.0214871,0,,0.997859814
0.118533,281.676,13296.5,315.984,0.030719,0,,0.998490606
0.120073,281.952,13302.5,316.012,0.0301921,0,,0.998941171
0.121612,282.222,13308.7,316.051,0.0300086,0,,0.999406755
0.123152,282.487,13313.5,316.106,0.0323643,0,,0.999767208
0.124691,283.007,13324.3,316.175,0.0303523,0,,1.000578226
0.12623,283.245,13325.6,316.254,0.0336393,0,,1.000675848
0.12777,283.49,13328.3,316.322,0.031581,0,,1.000878603
0.129309,283.713,13327.5,316.426,0.0341581,0,,1.000818527
0.130848,283.945,13328,316.503,0.0325349,0,,1.000856074
0.132388,284.161,13326.9,316.601,0.0333059,0,,1.000773471
0.133927,284.377,13325.1,316.711,0.0330387,0,,1.000638301
0.135467,284.594,13324.1,316.787,0.0350758,0,,1.000563207
0.137006,284.815,13323.2,316.864,0.0371011,0,,1.000495622
0.138545,285.039,13323.6,316.892,0.0388252,0,,1.00052566
0.140085,285.264,13324.3,316.922,0.0417788,0,,1.000578226
0.141624,285.499,13326.5,316.901,0.0412884,0,,1.000743433
0.143164,285.728,13328.9,316.877,0.0444682,0,,1.000923659
0.144703,285.971,13333.4,316.811,0.0419468,0,,1.001261583
0.146242,286.22,13338.4,316.735,0.0462277,0,,1.001637055
0.147782,286.474,13344.8,316.63,0.0442782,0,,1.002117658
0.149321,286.722,13351.5,316.52,0.0436027,0,,1.002620789
0.150861,286.975,13359.2,316.394,0.0432675,0,,1.003199015
0.1524,287.22,13366.4,316.273,0.040522,0,,1.003739693
