distance,T,p,U_0,U_1,U_2
0,349.326,3483.94,3.01768,-1.14104,0
0.00153939,349.577,3479.23,7.60489,-0.102621,0
0.00307879,347.789,3469.98,0.0273141,1.56168,0
0.00461818,344.937,3427.87,-46.5915,5.64506,0
0.00615758,342.548,3336.75,-96.7669,3.57372,0
0.00769697,339.598,3268.45,-130.125,2.177,0
0.00923636,337.041,3240.43,-153.162,1.83403,0
0.0107758,334.764,3249.53,-170.276,1.6789,0
0.0123152,332.831,3298.55,-182.746,1.47386,0
0.0138545,331.93,3361.07,-187.876,1.34088,0
0.0153939,331.42,3512.05,-190.379,1.15222,0
0.0169333,332.029,3740.14,-185.86,0.613938,0
0.0184727,333.098,3940.58,-178.731,0.289008,0
0.0200121,335.431,4314.72,-162.304,-0.260333,0
0.0215515,337.307,4612.67,-148.189,-0.688407,0
0.0230909,340.263,5131.48,-123.103,-1.38403,0
0.0246303,342.218,5523.4,-103.605,-1.77907,0
0.0261697,343.921,5947.49,-83.17,-2.07147,0
0.0277091,345.917,6638.72,-50.1366,-2.57507,0
0.0292485,346.745,7125.74,-27.4115,-2.78065,0
0.0307879,347.076,7620.74,-4.6925,-2.95736,0
0.0323273,346.89,8116.36,17.1969,-2.87374,0
0.0338667,345.737,8841.94,49.9129,-2.90227,0
0.0354061,344.472,9305.19,70.9378,-2.85903,0
0.0369455,342.921,9745.03,90.9626,-2.78663,0
0.0384848,341.137,10157.8,110.037,-2.71726,0
0.0400242,339.146,10540.2,128.137,-2.60193,0
0.0415636,336.991,10891.9,145.223,-2.58748,0
0.043103,334.679,11208.5,161.365,-2.44585,0
0.0446424,332.237,11488.8,176.591,-2.29927,0
0.0461818,329.699,11729.9,190.911,-2.15213,0
0.0477212,327.11,11932.3,204.519,-2.00452,0
0.0492606,324.535,12099.4,217.26,-1.81746,0
0.0508,323.3,12170.3,223.132,-1.69993,0
0.0523394,320.922,12304.5,234.07,-1.50228,0
0.0538788,318.644,12420.2,244.033,-1.375,0
0.0554182,316.409,12511.6,253.405,-1.23408,0
0.0569576,314.304,12588.4,261.902,-1.09399,0
0.058497,313.312,12625,265.814,-1.03651,0
0.0600364,311.425,12686.2,273.126,-0.943342,0
0.0615758,309.626,12730.4,279.984,-0.843718,0
0.0631152,308.774,12748.4,283.213,-0.782668,0
0.0646545,307.206,12784.2,289.117,-0.689527,0
0.0661939,305.77,12815.1,294.476,-0.621598,0
0.0677333,305.077,12824.9,297.044,-0.580668,0
0.0692727,303.758,12840.5,301.876,-0.513448,0
0.0708121,303.14,12847.1,304.117,-0.477974,0
0.0723515,302.034,12863.8,308.116,-0.412789,0
0.0738909,301.049,12882.7,311.648,-0.36479,0
0.0754303,300.589,12892.6,313.292,-0.338707,0
0.0769697,299.762,12914.5,316.24,-0.298843,0
0.0785091,299.382,12925.8,317.594,-0.286816,0
0.0800485,298.66,12947.8,320.187,-0.251193,0
0.0815879,298.359,12962.1,321.296,-0.234957,0
0.0831273,298.081,12976.9,322.322,-0.220668,0
0.0846667,297.487,13001.7,324.479,-0.218839,0
0.0862061,297.138,12997.7,325.716,-0.210823,0
0.0877455,296.277,12957.7,328.701,-0.209209,0
0.0892848,295.633,12918.4,330.896,-0.162509,0
0.0908242,295.748,12970.1,330.746,-0.0853608,0
0.0923636,295.311,12967,332.404,-0.113441,0
0.093903,295.464,13010.7,332.085,-0.0571666,0
0.0954424,295.425,13039.2,332.28,-0.097265,0
0.0969818,295.264,13088.1,332.959,-0.114488,0
0.0985212,295.144,13104.9,333.419,-0.107576,0
0.100061,295.012,13118.4,333.915,-0.105985,0
0.1016,294.751,13145.6,334.89,-0.0999248,0
0.103139,294.642,13160.2,335.312,-0.0946425,0
0.104679,294.528,13174.7,335.75,-0.0952629,0
0.106218,294.408,13185.3,336.209,-0.0882309,0
0.107758,294.155,13200.9,337.17,-0.0786217,0
0.109297,294.036,13207.9,337.634,-0.0719327,0
0.110836,293.938,13215.8,338.04,-0.0668429,0
0.112376,293.848,13224.4,338.415,-0.0620268,0
0.113915,293.669,13237.9,339.167,-0.0538495,0
0.115455,293.593,13244.9,339.498,-0.0507042,0
0.116994,293.518,13252.4,339.821,-0.04772,0
0.118533,293.441,13257.3,340.153,-0.0446996,0
0.120073,293.358,13261.6,340.506,-0.0426128,0
0.121612,293.269,13261,340.879,-0.0333891,0
0.123152,293.191,13259.6,341.236,-0.0211757,0
0.124691,292.981,13246.2,342.186,-0.0137415,0
0.12623,293.039,13257.6,342.173,0.013475,0
0.12777,293.038,13258.2,342.283,0.022213,0
0.129309,293.027,13258.6,342.507,0.0110896,0
0.130848,293.076,13265.9,342.462,0.0284194,0
0.132388,293.113,13272.3,342.491,0.0197192,0
0.133927,293.174,13282.2,342.438,0.0238844,0
0.135467,293.236,13292.4,342.381,0.0234398,0
0.137006,293.301,13303.3,342.312,0.0210993,0
0.138545,293.357,13313.7,342.248,0.0199767,0
0.140085,293.416,13324.6,342.175,0.0167638,0
0.141624,293.464,13334.6,342.118,0.0167966,0
0.143164,293.514,13344.3,342.058,0.0144508,0
0.144703,293.535,13351.3,342.062,0.0086433,0
0.146242,293.557,13356.9,342.071,0.0108565,0
0.147782,293.573,13361.8,342.102,0.00973371,0
0.149321,293.573,13363.6,342.159,0.0140149,0
0.150861,293.566,13362.6,342.242,0.0157021,0
0.1524,293.558,13360.8,342.334,0.017294,0
