distance,T,p,U_0,U_1,U_2,
0.00155556,250.946,13267.2,434.632,-1.48692,0,0.996290344
0.00311111,173.478,5608.61,567.338,-153.305,0,0.421174324
0.00466667,146.922,4441.54,605.094,-179.833,0,0.333534085
0.00622222,134.776,4091.52,618.924,-197.133,0,0.307249598
0.00777778,126.389,3870.16,630.667,-201.228,0,0.290626737
0.00933333,119.588,3699.62,640.174,-204.349,0,0.277820164
0.0108889,114.308,3602.69,647.561,-206.099,0,0.270541279
0.0124444,110.745,3556.73,652.186,-208.244,0,0.267089948
0.014,108.787,3530.82,655.132,-208.869,0,0.265144256
0.0155556,108.249,3548.31,655.956,-209.07,0,0.266457654
0.0171111,107.245,3535.91,657.611,-208.977,0,0.265526486
0.0186667,105.872,3513.17,659.7,-209.42,0,0.263818843
0.0202222,105.209,3508.99,660.708,-209.802,0,0.263504949
0.0217778,104.93,3513.54,661.152,-209.969,0,0.263846628
0.0233333,105.036,3514.75,661.039,-209.675,0,0.263937492
0.0248889,105.126,3518.83,660.992,-209.283,0,0.264243876
0.0264444,105.05,3520.36,661.145,-209.171,0,0.26435877
0.028,104.882,3521.08,661.39,-209.132,0,0.264412838
0.0295556,104.949,3527.13,661.307,-209.014,0,0.264867158
0.0311111,104.989,3531.62,661.305,-208.851,0,0.265204331
0.0326667,103.491,3362.39,661.281,-215.901,0,0.252496133
0.0342222,104.965,3535.98,661.446,-208.477,0,0.265531742
0.0357778,105.012,3540.4,661.409,-208.349,0,0.265863659
0.0373333,105.089,3550.28,661.357,-208.174,0,0.26660559
0.0388889,105.021,3550.71,661.497,-208.095,0,0.266637881
0.0404444,105.076,3554.53,661.455,-207.956,0,0.266924741
0.042,105.065,3555.9,661.49,-207.895,0,0.26702762
0.0435556,105.04,3557.39,661.578,-207.746,0,0.26713951
0.0451111,105.071,3558.63,661.55,-207.673,0,0.267232627
0.0466667,105.104,3561.29,661.522,-207.599,0,0.267432378
0.0482222,105.134,3563.7,661.515,-207.493,0,0.267613355
0.0497778,105.108,3563.91,661.576,-207.432,0,0.267629125
0.0513333,105.138,3565.97,661.558,-207.374,0,0.267783819
0.0528889,105.14,3568.08,661.578,-207.318,0,0.267942268
0.0544444,105.144,3568.68,661.585,-207.266,0,0.267987324
0.056,105.171,3569.86,661.575,-207.159,0,0.268075935
0.0575556,105.207,3572.26,661.533,-207.121,0,0.268256161
0.0591111,105.195,3573.51,661.592,-207.04,0,0.268350029
0.0606667,105.197,3574.35,661.607,-206.993,0,0.268413108
0.0622222,105.226,3575.86,661.576,-206.951,0,0.268526501
0.0637778,105.219,3575.99,661.597,-206.915,0,0.268536263
0.0653333,105.255,3577.59,661.564,-206.846,0,0.268656414
0.0668889,105.226,3575.71,661.593,-206.881,0,0.268515237
0.0684444,105.325,3566.56,660.848,-208.77,0,0.267828124
0.07,108.075,3816.23,659.391,-199.971,0,0.286576904
0.0715556,130.563,6618.66,645.153,-115.848,0,0.497023264
0.0731111,154.536,9951.91,613.954,-67.1284,0,0.747331151
0.0746667,158.959,12364.9,610.111,-18.0543,0,0.928532809
0.0762222,157.315,12303.1,612.99,-8.46178,0,0.923891984
0.0777778,158.138,12449.2,611.603,-6.31701,0,0.934863253
0.0793333,158.293,12480.9,611.338,-6.64649,0,0.937243741
0.0808889,158.615,12571.2,610.86,-6.30955,0,0.944024751
0.0824444,158.749,12625.7,610.65,-5.85807,0,0.948117387
0.084,159.035,12727.2,610.197,-4.72391,0,0.955739453
0.0855556,159.279,12780.5,609.804,-4.27726,0,0.959741976
0.0871111,159.426,12852.2,609.675,-3.42932,0,0.965126233
0.0886667,159.433,12863.6,609.663,-3.12313,0,0.965982308
0.0902222,159.535,12872.1,609.41,-3.00078,0,0.966620609
0.0917778,159.657,12909.7,609.215,-2.71591,0,0.969444152
0.0933333,159.68,12924,609.178,-2.56493,0,0.970518
0.0948889,159.764,12953.3,609.04,-2.26913,0,0.972718261
0.0964444,159.845,12972,608.907,-2.16217,0,0.974122524
0.098,159.858,12983.4,608.887,-2.01159,0,0.974978598
0.0995556,160.042,13020,608.635,-1.6327,0,0.977727047
0.101111,160.02,13030,608.627,-1.62348,0,0.97847799
0.102667,159.992,13033.2,608.674,-1.4074,0,0.978718291
0.104222,160.034,13048.5,608.607,-0.987193,0,0.979867233
0.105778,160.078,13056.5,608.534,-0.832216,0,0.980467987
0.107333,160.085,13059.2,608.524,-0.772434,0,0.980670742
0.108889,160.087,13061.7,608.52,-0.781876,0,0.980858477
0.110444,160.103,13069.9,608.496,-0.850854,0,0.98147425
0.112,160.124,13076.6,608.462,-0.877414,0,0.981977382
0.113556,160.154,13085.6,608.413,-0.879657,0,0.98265323
0.115111,160.188,13096.6,608.358,-0.84964,0,0.983479266
0.116667,160.247,13111.8,608.261,-0.792147,0,0.984620699
0.118222,160.376,13149.7,608.049,-0.59042,0,0.987466771
0.119778,160.41,13166,607.994,-0.430785,0,0.988690807
0.121333,160.499,13187.7,607.847,-0.344181,0,0.990320352
0.122889,160.526,13201.3,607.803,-0.201834,0,0.991341634
0.124444,160.759,13222.3,607.436,-0.0304733,0,0.992918613
0.126,160.609,13227.5,607.666,-0.014197,0,0.993309103
0.127556,160.664,13240.1,607.576,0.0544819,0,0.99425529
0.129111,160.711,13256.1,607.499,0.238464,0,0.995456798
0.130667,160.703,13258.9,607.513,0.34177,0,0.995667062
0.132222,160.74,13266,607.452,0.446098,0,0.996200231
0.133778,160.718,13265.8,607.491,0.56822,0,0.996185212
0.135333,160.941,13276.5,607.132,0.70179,0,0.996988721
0.136889,160.914,13274.7,607.178,0.822855,0,0.996853551
0.138444,160.956,13281.3,607.109,0.918233,0,0.997349173
0.14,160.94,13279.9,607.134,0.994027,0,0.997244041
0.141556,160.767,13279.4,607.411,1.04773,0,0.997206494
0.143111,160.78,13282.2,607.39,1.06338,0,0.997416758
0.144667,160.784,13284,607.385,1.05554,0,0.997551928
0.146222,160.794,13287.2,607.367,1.03413,0,0.997792229
0.147778,160.804,13291.1,607.35,0.999183,0,0.998085097
0.149333,160.827,13297,607.313,0.954324,0,0.998528153
0.150889,160.843,13303.2,607.287,0.900528,0,0.998993737
0.152444,160.873,13311.5,607.237,0.858426,0,0.999617019
0.154,160.901,13320.5,607.191,0.815017,0,1.000292868
