distance,T,p,U_0,U_1,U_2,,
0,345.938,3495.95,2.91798,-1.08361,0,,0.26252572
0.00153939,345.915,3491.34,7.46374,-0.103225,0,,0.262179535
0.00307879,345.731,3482.25,0.222512,1.50775,0,,0.261496929
0.00461818,344.033,3440.91,-45.7321,5.63721,0,,0.258392533
0.00615758,341.665,3350.36,-95.8149,3.58292,0,,0.251592749
0.00769697,338.794,3281.74,-129.199,2.17483,0,,0.246439782
0.00923636,336.292,3253.15,-152.28,1.83119,0,,0.244292838
0.0107758,334.067,3261.53,-169.454,1.6758,0,,0.244922127
0.0123152,332.181,3309.69,-182.005,1.47108,0,,0.248538666
0.0138545,331.305,3371.56,-187.199,1.3362,0,,0.253184747
0.0153939,330.82,3521.42,-189.792,1.15089,0,,0.26443837
0.0169333,331.462,3748.24,-185.406,0.61049,0,,0.281471246
0.0184727,332.542,3947.54,-178.373,0.28847,0,,0.296437529
0.0200121,334.878,4319.28,-162.174,-0.249121,0,,0.324353063
0.0215515,336.757,4615.37,-148.212,-0.674969,0,,0.346587718
0.0230909,339.726,5131.23,-123.272,-1.36946,0,,0.385325834
0.0246303,341.689,5520.94,-103.855,-1.76773,0,,0.414590811
0.0261697,343.42,5943.04,-83.5044,-2.05944,0,,0.446288092
0.0277091,345.477,6631.5,-50.6995,-2.56004,0,,0.497987474
0.0292485,346.342,7116.37,-28.1026,-2.745,0,,0.53439842
0.0307879,346.708,7609.25,-5.53909,-2.97444,0,,0.571410871
0.0323273,346.572,8103.94,16.3706,-2.87288,0,,0.608559242
0.0338667,345.486,8827.62,49.0191,-2.90833,0,,0.662903444
0.0354061,344.263,9289.38,70.0235,-2.8676,0,,0.697578962
0.0369455,342.749,9728.1,90.033,-2.79524,0,,0.730524308
0.0384848,340.993,10140.9,109.135,-2.72215,0,,0.761523212
0.0400242,339.025,10523.7,127.28,-2.60129,0,,0.790269288
0.0415636,336.885,10874.2,144.37,-2.55384,0,,0.81658982
0.043103,334.586,11190.8,160.414,-2.44193,0,,0.840364658
0.0446424,332.173,11471.7,175.575,-2.31454,0,,0.861458631
0.0461818,329.654,11713.5,190.013,-2.17098,0,,0.879616419
0.0477212,327.085,11916.9,203.643,-2.00212,0,,0.894890588
0.0492606,324.546,12087.6,216.278,-1.8042,0,,0.907709175
0.0508,323.332,12161.4,222.081,-1.68632,0,,0.91325113
0.0523394,320.987,12301.5,232.897,-1.49749,0,,0.923771834
0.0538788,318.729,12422.1,242.821,-1.38589,0,,0.932828199
0.0554182,316.468,12513,252.376,-1.26021,0,,0.939654266
0.0569576,314.345,12586.8,261.09,-1.10899,0,,0.945196221
0.058497,313.355,12622.6,265.069,-1.05084,0,,0.947884595
0.0600364,311.494,12685.1,272.421,-0.938965,0,,0.952577985
0.0615758,309.748,12736.3,279.156,-0.839148,0,,0.956422811
0.0631152,308.917,12756.8,282.316,-0.782031,0,,0.957962243
0.0646545,307.347,12794.8,288.203,-0.695928,0,,0.960815824
0.0661939,305.839,12819.9,293.747,-0.629828,0,,0.962700689
0.0677333,305.12,12827.8,296.376,-0.586959,0,,0.963293934
0.0692727,303.777,12841.4,301.261,-0.513911,0,,0.964315216
0.0708121,303.164,12849,303.487,-0.475445,0,,0.964885932
0.0723515,302.079,12868,307.445,-0.416718,0,,0.966312722
0.0738909,301.094,12888.1,311.012,-0.365671,0,,0.967822117
0.0754303,300.646,12899.2,312.636,-0.340653,0,,0.968655663
0.0769697,299.813,12921.4,315.634,-0.30404,0,,0.970322755
0.0785091,299.423,12931.4,317.028,-0.292436,0,,0.971073697
0.0800485,298.678,12951.3,319.693,-0.250512,0,,0.972568073
0.0815879,298.377,12965.5,320.793,-0.234491,0,,0.973634411
0.0831273,298.093,12980,321.828,-0.219936,0,,0.974723278
0.0846667,297.484,13003.3,324.009,-0.219143,0,,0.976472974
0.0862061,297.128,12998.8,325.26,-0.211997,0,,0.976135049
0.0877455,296.253,12957,328.283,-0.213137,0,,0.97299611
0.0892848,295.605,12916.7,330.497,-0.160487,0,,0.969969812
0.0908242,295.728,12969.3,330.327,-0.0869494,0,,0.973919769
0.0923636,295.303,12967.6,331.973,-0.112648,0,,0.973792109
0.093903,295.464,13012.1,331.638,-0.0569568,0,,0.977133803
0.0954424,295.428,13041.3,331.831,-0.100357,0,,0.979326555
0.0969818,295.273,13090.7,332.517,-0.115799,0,,0.98303621
